Form I-129 Petition for Nonimmigrant Worker Specialty Occupations (H-1B),,,,,,,,,,

"By Fiscal Year, Month, and Case Status",,,,,,,,,,

"October 1, 2016 - December 31, 2022",,,,,,,,,,

Period,,Petitions by Case Status,,,,,,,,

Fiscal Year,Month,Petitions Received 1,Initially Approved 2,Initially Denied3,Total Completions 4,Approved (%)5,Completions with RFE6,Completions with RFE (%)7,Approved with RFE8,Approved with RFE (%)9
,January,"3,104","2,715",760,"3,475",78.10%,"1,525",43.90%,962,63.10%

,February,"3,113","3,364",1002,"4,366",77.00%,"1,437",32.90%,893,62.10%

,March,"4,117","4,221",845,"5,066",83.30%,"1,541",30.40%,937,60.80%

,April,"3,684","3,727",549,"4,276",87.20%,"1,236",28.90%,798,64.60%

,May,"3,635","3,169",495,"3,664",86.50%,"1,364",37.20%,931,68.30%

,June,"3,684","3,085",496,"3,581",86.10%,"1,289",36.00%,865,67.10%

,July,"3,197","2,673",521,"3,194",83.70%,"1,346",42.10%,867,64.40%

,August,"3,642","3,245",581,"3,826",84.80%,"1,489",38.90%,995,66.80%

,September,"3,292","3,914",636,"4,550",86.00%,"1,413",31.10%,889,62.90%

2022 Total,,"41,797","38,781","7,617","46,398",83.60%,"16,943",36.50%,"11,028",65.10%

2023,October,"3,376","3,419",517,"3,936",86.90%,"1,282",32.60%,829,64.70%

,November,"2,866","2,797",549,"3,346",83.60%,"1,381",41.30%,869,62.90%

,December,"2,893","2,449",412,"2,861",85.60%,"1,152",40.30%,770,66.80%

2023 Total,,"9,135","8,665","1,478","10,143",85.40%,"3,815",37.60%,"2,468",64.70%

"Form I-129 Petition for a Nonimmigrant Worker, Individuals with Extraordinary Ability or Achievement and Essential Support Personnel (O)",,,,,,,,,,

"By Fiscal Year, Month, and Case Status",,,,,,,,,,

"October 1, 2016 - December 31, 2022",,,,,,,,,,

Period,,Petitions by Case Status,,,,,,,,

Fiscal Year,Month,Petitions Received 1,Initially Approved 2,Initially Denied3,Total Completions 4,Approved (%)5,Completions with RFE6,Completions with RFE (%)7,Approved with RFE8,Approved with RFE (%)9

TOTAL,,"153,802","141,803","11,654","153,457",92.40%,"37,942",24.70%,"26,632",70.20%

2017,October,"1,780","1,904",122,"2,026",94.00%,455,22.50%,337,74.10%

,November,"1,683","1,936",116,"2,052",94.30%,455,22.20%,343,75.40%

,December,"2,187","2,014",95,"2,109",95.50%,423,20.10%,331,78.30%

,January,"1,537","1,942",136,"2,078",93.50%,531,25.60%,402,75.70%

,February,"1,861","1,851",121,"1,972",93.90%,464,23.50%,344,74.10%

,March,"2,158","2,235",129,"2,364",94.50%,492,20.80%,364,74.00%

,April,"1,919","1,862",102,"1,964",94.80%,407,20.70%,308,75.70%

,May,"2,243","1,953",154,"2,107",92.70%,472,22.40%,322,68.20%

,June,"2,499","2,222",147,"2,369",93.80%,494,20.90%,348,70.40%

,July,"2,191","2,033",155,"2,188",92.90%,494,22.60%,342,69.20%

,August,"2,381","2,430",133,"2,563",94.80%,548,21.40%,420,76.60%

,September,"1,852","1,801",97,"1,898",94.90%,417,22.00%,322,77.20%

2017 Total,,"24,291","24,183","1,507","25,690",94.10%,"5,652",22.00%,"4,183",74.00%

2018,October,"1,981","1,660",173,"1,833",90.60%,472,25.80%,301,63.80%

,November,"1,889","1,825",187,"2,012",90.70%,474,23.60%,289,61.00%

,December,"1,796","1,593",160,"1,753",90.90%,463,26.40%,307,66.30%

,January,"1,752","1,822",144,"1,966",92.70%,442,22.50%,302,68.30%

,February,"1,913","1,673",132,"1,805",92.70%,393,21.80%,263,66.90%

,March,"2,291","2,084",133,"2,217",94.00%,474,21.40%,343,72.40%

,April,"2,130","1,875",108,"1,983",94.60%,397,20.00%,292,73.60%

,May,"2,276","1,994",134,"2,128",93.70%,474,22.30%,345,72.80%

,June,"2,254","2,024",109,"2,133",94.90%,455,21.30%,348,76.50%

,July,"2,460","1,931",165,"2,096",92.10%,500,23.90%,341,68.20%

,August,"2,477","2,257",164,"2,421",93.20%,552,22.80%,393,71.20%

,September,"1,983","2,004",152,"2,156",92.90%,512,23.70%,365,71.30%

2018 Total,,"25,202","22,742","1,761","24,503",92.80%,"5,608",22.90%,"3,889",69.30%

2019,October,"2,055","2,028",184,"2,212",91.70%,581,26.30%,401,69.00%

,November,"1,843","1,671",189,"1,860",89.80%,545,29.30%,360,66.10%

,December,"1,984","1,585",171,"1,756",90.30%,500,28.50%,331,66.20%

,January,"1,764","1,908",246,"2,154",88.60%,650,30.20%,418,64.30%

,February,"2,021","1,682",163,"1,845",91.20%,500,27.10%,338,67.60%

,March,"2,294","1,861",160,"2,021",92.10%,518,25.60%,361,69.70%

,April,"2,301","2,056",201,"2,257",91.10%,584,25.90%,389,66.60%

,May,"2,555","2,052",188,"2,240",91.60%,556,24.80%,370,66.50%

,June,"2,436","1,992",187,"2,179",91.40%,536,24.60%,355,66.20%

,July,"2,570","2,339",231,"2,570",91.00%,639,24.90%,411,64.30%

,August,"2,514","2,174",202,"2,376",91.50%,548,23.10%,352,64.20%

,September,"2,172","1,736",214,"1,950",89.00%,560,28.70%,357,63.80%

2019 Total,,"26,509","23,084","2,336","25,420",90.80%,"6,717",26.40%,"4,443",66.10%

2020,October,"2,246","2,017",209,"2,226",90.60%,658,29.60%,459,69.80%

,November,"2,031","1,580",196,"1,776",89.00%,533,30.00%,343,64.40%

,December,"2,057","1,770",181,"1,951",90.70%,565,29.00%,384,68.00%

,January,"1,828","1,682",199,"1,881",89.40%,586,31.20%,395,67.40%

,February,"2,228","1,751",204,"1,955",89.60%,552,28.20%,353,63.90%

,March,"1,810","2,035",275,"2,310",88.10%,716,31.00%,455,63.50%

,April,"1,641",965,221,"1,186",81.40%,476,40.10%,261,54.80%

,May,"1,685","1,347",140,"1,487",90.60%,431,29.00%,292,67.70%

,June,"1,670","1,693",128,"1,821",93.00%,494,27.10%,370,74.90%

,July,"1,842","1,741",123,"1,864",93.40%,469,25.20%,348,74.20%

,August,"1,592","1,701",206,"1,907",89.20%,667,35.00%,465,69.70%

,September,"1,673","1,617",198,"1,815",89.10%,617,34.00%,423,68.60%

2020 Total,,"22,303","19,899","2,280","22,179",89.70%,"6,764",30.50%,"4,548",67.20%

2021,October,"1,378","1,639",226,"1,865",87.90%,648,34.70%,427,65.90%

,November,"1,190","1,144",175,"1,319",86.70%,528,40.00%,356,67.40%

,December,"1,364","1,200",207,"1,407",85.30%,570,40.50%,367,64.40%

,January,"1,132","1,180",148,"1,328",88.90%,396,29.80%,250,63.10%

,February,"1,232","1,153",113,"1,266",91.10%,339,26.80%,226,66.70%

,March,"1,831","1,579",210,"1,789",88.30%,580,32.40%,372,64.10%

,April,"1,789","1,501",109,"1,610",93.20%,428,26.60%,321,75.00%

,May,"1,896","1,524",144,"1,668",91.40%,443,26.60%,302,68.20%

,June,"2,324","1,939",139,"2,078",93.30%,493,23.70%,359,72.80%

,July,"2,285","2,110",89,"2,199",96.00%,444,20.20%,360,81.10%

,August,"2,214","2,385",113,"2,498",95.50%,513,20.50%,403,78.60%

,September,"2,039","1,978",149,"2,127",93.00%,498,23.40%,353,70.90%

2021 Total,,"20,674","19,332","1,822","21,154",91.40%,"5,880",27.80%,"4,096",69.70%

2022,October,"2,035","1,852",130,"1,982",93.40%,444,22.40%,320,72.10%

,November,"1,912","1,830",112,"1,942",94.20%,440,22.70%,330,75.00%

,December,"2,252","1,837",81,"1,918",95.80%,371,19.30%,297,80.10%

,January,"1,818","1,667",115,"1,782",93.50%,419,23.50%,313,74.70%

,February,"2,156","1,991",121,"2,112",94.30%,448,21.20%,333,74.30%

,March,"2,596","2,425",157,"2,582",93.90%,499,19.30%,353,70.70%

,April,"2,386","2,240",137,"2,377",94.20%,468,19.70%,335,71.60%

,May,"2,583","2,233",133,"2,366",94.40%,462,19.50%,337,72.90%

,June,"2,676","2,607",117,"2,724",95.70%,538,19.80%,429,79.70%

,July,"2,600","2,288",115,"2,403",95.20%,512,21.30%,399,77.90%

,August,"2,814","2,748",139,"2,887",95.20%,609,21.10%,478,78.50%

,September,"2,363","2,573",140,"2,713",94.80%,554,20.40%,423,76.40%

2022 Total,,"28,191","26,291","1,497","27,788",94.60%,"5,764",20.70%,"4,347",75.40%

2023,October,"2,228","2,184",156,"2,340",93.30%,553,23.60%,404,73.10%

,November,"2,066","2,117",156,"2,273",93.10%,559,24.60%,410,73.30%

,December,"2,338","1,971",139,"2,110",93.40%,445,21.10%,312,70.10%

2023 Total,,"6,632","6,272",451,"6,723",93.30%,"1,557",23.20%,"1,126",72.30%

"Form I-129 Petition for a Nonimmigrant Worker Athlete, Athletic/Entertainment Group, Artist, or Entertainer and Essential Support Personnel (P)",,,,,,,,,,

"By Fiscal Year, Month, and Case Status",,,,,,,,,,

"October 1, 2016 - December 31, 2022",,,,,,,,,,

Period,,Petitions by Case Status,,,,,,,,

Fiscal Year,Month,Petitions Received 1,Initially Approved 2,Initially Denied3,Total Completions 4,Approved (%)5,Completions with RFE6,Completions with RFE (%)7,Approved with RFE8,Approved with RFE (%)9

TOTAL,,"67,856","62,065","5,494","67,559",91.90%,"15,047",22.30%,"9,811",65.20%

2017,October,878,861,54,915,94.10%,162,17.70%,112,69.10%

,November,906,881,66,947,93.00%,191,20.20%,131,68.60%

,December,"1,282","1,049",71,"1,120",93.70%,181,16.20%,111,61.30%

,January,878,985,90,"1,075",91.60%,238,22.10%,151,63.40%

,February,890,972,91,"1,063",91.40%,230,21.60%,142,61.70%

,March,"1,096","1,097",114,"1,211",90.60%,279,23.00%,170,60.90%

,April,807,823,64,887,92.80%,228,25.70%,168,73.70%

,May,"1,019",853,94,947,90.10%,233,24.60%,144,61.80%

,June,971,954,107,"1,061",89.90%,271,25.50%,165,60.90%

,July,"1,147",960,91,"1,051",91.30%,212,20.20%,131,61.80%

,August,"1,022","1,099",86,"1,185",92.70%,258,21.80%,175,67.80%

,September,809,799,61,860,92.90%,199,23.10%,140,70.40%

2017 Total,,"11,705","11,333",989,"12,322",92.00%,"2,682",21.80%,"1,740",64.90%

2018,October,932,707,101,808,87.50%,225,27.80%,126,56.00%

,November,936,856,71,927,92.30%,196,21.10%,126,64.30%

,December,"1,014",894,51,945,94.60%,207,21.90%,158,76.30%

,January,"1,006","1,007",64,"1,071",94.00%,224,20.90%,162,72.30%

,February,"1,035",973,57,"1,030",94.50%,195,18.90%,139,71.30%

,March,"1,100","1,032",76,"1,108",93.10%,200,18.10%,129,64.50%

,April,921,853,66,919,92.80%,219,23.80%,159,72.60%

,May,"1,046",891,74,965,92.30%,243,25.20%,170,70.00%

,June,983,923,66,989,93.30%,209,21.10%,147,70.30%

,July,"1,284","1,053",80,"1,133",92.90%,242,21.40%,167,69.00%

,August,"1,179","1,100",77,"1,177",93.50%,258,21.90%,185,71.70%

,September,827,"1,016",62,"1,078",94.20%,201,18.60%,142,70.60%

2018 Total,,"12,263","11,305",845,"12,150",93.00%,"2,619",21.60%,"1,810",69.10%

2019,October,956,826,87,913,90.50%,211,23.10%,126,59.70%

,November,"1,076",907,61,968,93.70%,178,18.40%,119,66.90%

,December,"1,208",993,68,"1,061",93.60%,215,20.30%,150,69.80%

,January,"1,098","1,103",130,"1,233",89.50%,320,26.00%,197,61.60%

,February,"1,064",937,86,"1,023",91.60%,254,24.80%,174,68.50%

,March,"1,103",930,106,"1,036",89.80%,284,27.40%,184,64.80%

,April,"1,049",928,91,"1,019",91.10%,276,27.10%,190,68.80%

,May,"1,131",899,88,987,91.10%,257,26.00%,172,66.90%

,June,"1,046",848,95,943,89.90%,232,24.60%,138,59.50%

,July,"1,321","1,216",85,"1,301",93.50%,230,17.70%,149,64.80%

,August,"1,135","1,134",110,"1,244",91.20%,287,23.10%,182,63.40%

,September,927,781,88,869,89.90%,242,27.80%,156,64.50%

2019 Total,,"13,114","11,502","1,095","12,597",91.30%,"2,986",23.70%,"1,937",64.90%

2020,October,"1,023",791,103,894,88.50%,232,26.00%,134,57.80%

,November,999,792,96,888,89.20%,233,26.20%,139,59.70%

,December,"1,138",933,60,993,94.00%,200,20.10%,144,72.00%

,January,"1,216","1,063",97,"1,160",91.60%,270,23.30%,183,67.80%

,February,"1,022",912,88,"1,000",91.20%,225,22.50%,139,61.80%

,March,786,964,144,"1,108",87.00%,338,30.50%,197,58.30%

,April,335,360,73,433,83.10%,130,30.00%,64,49.20%

,May,351,335,69,404,82.90%,141,34.90%,73,51.80%

,June,387,395,51,446,88.60%,140,31.40%,92,65.70%

,July,440,446,47,493,90.50%,140,28.40%,94,67.10%

,August,366,366,62,428,85.50%,149,34.80%,87,58.40%

,September,439,401,85,486,82.50%,168,34.60%,85,50.60%

2020 Total,,"8,502","7,758",975,"8,733",88.80%,"2,366",27.10%,"1,431",60.50%

2021,October,452,491,103,594,82.70%,174,29.30%,76,43.70%

,November,475,420,77,497,84.50%,140,28.20%,66,47.10%

,December,694,595,76,671,88.70%,163,24.30%,95,58.30%

,January,498,560,41,601,93.20%,133,22.10%,95,71.40%

,February,422,433,35,468,92.50%,99,21.20%,65,65.70%

,March,560,488,55,543,89.90%,139,25.60%,84,60.40%

,April,554,468,38,506,92.50%,91,18.00%,56,61.50%

,May,639,456,56,512,89.10%,130,25.40%,79,60.80%

,June,783,643,31,674,95.40%,124,18.40%,95,76.60%

,July,877,771,23,794,97.10%,113,14.20%,90,79.60%

,August,973,"1,000",35,"1,035",96.60%,153,14.80%,120,78.40%

,September,778,731,61,792,92.30%,147,18.60%,86,58.50%

2021 Total,,"7,705","7,056",631,"7,687",91.80%,"1,606",20.90%,"1,007",62.70%

2022,October,759,628,57,685,91.70%,140,20.40%,86,61.40%

,November,867,719,44,763,94.20%,141,18.50%,100,70.90%

,December,955,758,51,809,93.70%,163,20.10%,118,72.40%

,January,859,756,55,811,93.20%,169,20.80%,118,69.80%

,February,921,848,47,895,94.70%,130,14.50%,85,65.40%

,March,1072,1078,69,1147,94.00%,194,16.90%,128,66.00%

,April,920,813,97,910,89.30%,200,22.00%,106,53.00%

,May,966,856,62,918,93.20%,189,20.60%,132,69.80%

,June,1118,972,65,1037,93.70%,208,20.10%,145,69.70%

,July,1194,908,59,967,93.90%,184,19.00%,130,70.70%

,August,1064,"1,242",83,"1,325",93.70%,272,20.50%,194,71.30%

,September,887,990,84,1074,92.20%,233,21.70%,155,66.50%

2022 Total,,"11,582","10,568",773,"11,341",93.20%,"2,223",19.60%,"1,497",67.30%

2023,October,887,723,67,790,91.50%,188,23.80%,128,68.10%

,November,"1,001",905,66,971,93.20%,193,19.90%,129,66.80%

,December,"1,097",915,53,968,94.50%,184,19.00%,132,71.70%

2023 Total,,"2,985","2,543",186,"2,729",93.20%,565,20.70%,389,68.80%

Form I-129 Petition for a Nonimmigrant Worker Temporary Nonimmigrant Religious Workers (R-1),,,,,,,,,,

"By Fiscal Year, Month, and Case Status",,,,,,,,,,

"October 1, 2016 - December 31, 2022",,,,,,,,,,

Period,,Petitions by Case Status,,,,,,,,

Fiscal Year,Month,Petitions Received 1,Initially Approved 2,Initially Denied3,Total Completions 4,Approved (%)5,Completions with RFE6,Completions with RFE (%)7,Approved with RFE8,Approved with RFE (%)9

TOTAL,,"49,879","48,911","3,265","52,176",93.70%,"15,032",28.80%,"12,267",81.60%

2017,October,675,710,53,763,93.10%,220,28.80%,182,82.70%

,November,633,562,61,623,90.20%,248,39.80%,201,81.00%

,December,845,646,55,701,92.20%,263,37.50%,217,82.50%

,January,558,716,82,798,89.70%,311,39.00%,240,77.20%

,February,678,746,76,822,90.80%,290,35.30%,227,78.30%

,March,727,921,73,994,92.70%,356,35.80%,289,81.20%

,April,625,923,55,978,94.40%,355,36.30%,307,86.50%

,May,721,734,81,815,90.10%,428,52.50%,354,82.70%

,June,825,720,65,785,91.70%,425,54.10%,361,84.90%

,July,728,767,76,843,91.00%,340,40.30%,271,79.70%

,August,707,785,75,860,91.30%,369,42.90%,299,81.00%

,September,644,621,59,680,91.30%,278,40.90%,225,80.90%

2017 Total,,"8,366","8,851",811,"9,662",91.60%,"3,883",40.20%,"3,173",81.70%

2018,October,618,723,58,781,92.60%,236,30.20%,181,76.70%

,November,649,535,41,576,92.90%,191,33.20%,153,80.10%

,December,727,529,46,575,92.00%,251,43.70%,210,83.70%

,January,687,717,73,790,90.80%,298,37.70%,231,77.50%

,February,688,753,63,816,92.30%,275,33.70%,216,78.50%

,March,756,614,43,657,93.50%,242,36.80%,203,83.90%

,April,725,591,36,627,94.30%,219,34.90%,187,85.40%

,May,836,667,66,733,91.00%,278,37.90%,214,77.00%

,June,742,538,50,588,91.50%,207,35.20%,164,79.20%

,July,737,655,58,713,91.90%,205,28.80%,154,75.10%

,August,679,977,59,"1,036",94.30%,239,23.10%,184,77.00%

,September,637,617,36,653,94.50%,201,30.80%,166,82.60%

2018 Total,,"8,481","7,916",629,"8,545",92.60%,"2,842",33.30%,"2,263",79.60%

2019,October,678,653,35,688,94.90%,222,32.30%,188,84.70%

,November,691,821,40,861,95.40%,259,30.10%,221,85.30%

,December,672,739,34,773,95.60%,221,28.60%,188,85.10%

,January,710,691,64,755,91.50%,215,28.50%,159,74.00%

,February,763,495,38,533,92.90%,174,32.60%,139,79.90%

,March,775,634,38,672,94.30%,212,31.50%,180,84.90%

,April,746,801,35,836,95.80%,222,26.60%,188,84.70%

,May,869,482,38,520,92.70%,144,27.70%,109,75.70%

,June,694,475,28,503,94.40%,161,32.00%,136,84.50%

,July,839,642,49,691,92.90%,208,30.10%,168,80.80%

,August,738,643,31,674,95.40%,181,26.90%,156,86.20%

,September,733,552,32,584,94.50%,138,23.60%,110,79.70%

2019 Total,,"8,908","7,628",462,"8,090",94.30%,"2,357",29.10%,"1,942",82.40%

2020,October,801,490,53,543,90.20%,161,29.70%,119,73.90%

,November,642,390,35,425,91.80%,114,26.80%,85,74.60%

,December,636,413,27,440,93.90%,142,32.30%,118,83.10%

,January,664,448,50,498,90.00%,168,33.70%,125,74.40%

,February,695,340,16,356,95.50%,99,27.80%,87,87.90%

,March,600,624,38,662,94.30%,176,26.60%,149,84.70%

,April,472,613,17,630,97.30%,121,19.20%,108,89.30%

,May,498,694,38,732,94.80%,162,22.10%,133,82.10%

,June,568,672,29,701,95.90%,140,20.00%,116,82.90%

,July,606,581,31,612,94.90%,167,27.30%,145,86.80%

,August,537,541,37,578,93.60%,234,40.50%,208,88.90%

,September,594,585,48,633,92.40%,257,40.60%,218,84.80%

2020 Total,,"7,313","6,391",419,"6,810",93.80%,"1,941",28.50%,"1,611",83.00%

2021,October,446,586,38,624,93.90%,237,38.00%,203,85.70%

,November,436,496,35,531,93.40%,187,35.20%,158,84.50%

,December,492,433,51,484,89.50%,160,33.10%,121,75.60%

,January,549,413,33,446,92.60%,137,30.70%,110,80.30%

,February,502,409,31,440,93.00%,109,24.80%,82,75.20%

,March,656,645,34,679,95.00%,138,20.30%,116,84.10%

,April,602,632,41,673,93.90%,169,25.10%,137,81.10%

,May,536,636,33,669,95.10%,144,21.50%,117,81.30%

,June,680,545,25,570,95.60%,140,24.60%,119,85.00%

,July,606,856,27,883,96.90%,147,16.60%,122,83.00%

,August,683,"1,047",59,"1,106",94.70%,186,16.80%,140,75.30%

,September,567,805,54,859,93.70%,186,21.70%,142,76.30%

2021 Total,,"6,755","7,503",461,"7,964",94.20%,"1,940",24.40%,"1,567",80.80%

2022,October,617,547,49,596,91.80%,133,22.30%,99,74.40%

,November,595,551,26,577,95.50%,151,26.20%,128,84.80%

,December,673,540,29,569,94.90%,158,27.80%,134,84.80%

,January,606,539,26,565,95.40%,115,20.40%,97,84.30%

,February,616,722,23,745,96.90%,101,13.60%,80,79.20%

,March,755,810,44,854,94.80%,120,14.10%,89,74.20%

,April,684,728,21,749,97.20%,105,14.00%,87,82.90%

,May,714,707,35,742,95.30%,145,19.50%,115,79.30%

,June,696,726,32,758,95.80%,150,19.80%,131,87.30%

,July,599,842,28,870,96.80%,134,15.40%,114,85.10%

,August,792,888,41,929,95.60%,199,21.40%,170,85.40%

,September,602,793,38,831,95.40%,137,16.50%,114,83.20%

2022 Total,,"7,949","8,393",392,"8,785",95.50%,"1,648",18.80%,"1,358",82.40%

2023,October,715,738,25,763,96.70%,148,19.40%,130,87.80%

,November,660,763,28,791,96.50%,144,18.20%,121,84.00%

,December,732,728,38,766,95.00%,129,16.80%,102,79.10%

2023 Total,,"2,107","2,229",91,"2,320",96.10%,421,18.10%,353,83.80%

"Form I-129 Petition for a Nonimmigrant Worker, NAFTA Professionals (TN)",,,,,,,,,,

"By Fiscal Year, Month, and Case Status",,,,,,,,,,

"October 1, 2016 - December 31, 2022",,,,,,,,,,

Period,,Petitions by Case Status,,,,,,,,

Fiscal Year,Month,Petitions Received 1,Initially Approved 2,Initially Denied3,Total Completions 4,Approved (%)5,Completions with RFE6,Completions with RFE (%)7,Approved with RFE8,Approved with RFE (%)9

TOTAL,,"65,996","59,332","5,875","65,207",91.00%,"14,579",22.40%,"9,439",64.70%

2017,October,512,512,48,560,91.40%,148,26.40%,100,67.60%

,November,465,462,52,514,89.90%,136,26.50%,87,64.00%

,December,550,491,49,540,90.90%,108,20.00%,65,60.20%

,January,535,546,52,598,91.30%,139,23.20%,91,65.50%

,February,554,383,46,429,89.30%,108,25.20%,63,58.30%

,March,766,712,49,761,93.60%,158,20.80%,111,70.30%

,April,627,665,62,727,91.50%,157,21.60%,104,66.20%

,May,797,752,38,790,95.20%,155,19.60%,120,77.40%

,June,821,696,44,740,94.10%,118,15.90%,76,64.40%

,July,669,567,40,607,93.40%,124,20.40%,85,68.50%

,August,660,562,92,654,85.90%,171,26.10%,87,50.90%

,September,523,551,58,609,90.50%,134,22.00%,82,61.20%

2017 Total,,"7,479","6,899",630,"7,529",91.60%,"1,656",22.00%,"1,071",64.70%

2018,October,555,437,66,503,86.90%,121,24.10%,58,47.90%

,November,"1,285",881,59,940,93.70%,139,14.80%,87,62.60%

,December,487,726,92,818,88.80%,440,53.80%,354,80.50%

,January,525,449,89,538,83.50%,172,32.00%,86,50.00%

,February,540,493,84,577,85.40%,181,31.40%,98,54.10%

,March,870,586,93,679,86.30%,200,29.50%,109,54.50%

,April,623,538,56,594,90.60%,126,21.20%,71,56.30%

,May,724,597,65,662,90.20%,187,28.20%,125,66.80%

,June,750,579,76,655,88.40%,147,22.40%,75,51.00%

,July,709,668,101,769,86.90%,205,26.70%,105,51.20%

,August,637,725,102,827,87.70%,226,27.30%,128,56.60%

,September,499,493,75,568,86.80%,152,26.80%,79,52.00%

2018 Total,,"8,204","7,172",958,"8,130",88.20%,"2,296",28.20%,"1,375",59.90%

2019,October,621,613,98,711,86.20%,207,29.10%,111,53.60%

,November,490,554,60,614,90.20%,169,27.50%,113,66.90%

,December,464,376,44,420,89.50%,111,26.40%,67,60.40%

,January,495,447,99,546,81.90%,169,31.00%,73,43.20%

,February,547,476,52,528,90.20%,114,21.60%,65,57.00%

,March,521,465,31,496,93.80%,102,20.60%,73,71.60%

,April,632,533,43,576,92.50%,126,21.90%,86,68.30%

,May,664,507,53,560,90.50%,139,24.80%,86,61.90%

,June,781,632,61,693,91.20%,145,20.90%,85,58.60%

,July,780,775,61,836,92.70%,173,20.70%,114,65.90%

,August,587,613,74,687,89.20%,170,24.70%,103,60.60%

,September,533,449,56,505,88.90%,133,26.30%,81,60.90%

2019 Total,,"7,115","6,440",732,"7,172",89.80%,"1,758",24.50%,"1,057",60.10%

2020,October,601,513,69,582,88.10%,161,27.70%,94,58.40%

,November,472,390,52,442,88.20%,116,26.20%,65,56.00%

,December,476,398,65,463,86.00%,139,30.00%,77,55.40%

,January,529,457,60,517,88.40%,118,22.80%,61,51.70%

,February,648,447,56,503,88.90%,131,26.00%,78,59.50%

,March,811,598,75,673,88.90%,176,26.20%,108,61.40%

,April,"1,379",693,62,755,91.80%,138,18.30%,85,61.60%

,May,"1,540",665,46,711,93.50%,138,19.40%,97,70.30%

,June,"1,837",765,33,798,95.90%,142,17.80%,117,82.40%

,July,"1,905","1,308",26,"1,334",98.10%,151,11.30%,126,83.40%

,August,"1,473","1,272",86,"1,358",93.70%,294,21.60%,226,76.90%

,September,"1,441","1,205",126,"1,331",90.50%,352,26.40%,252,71.60%

2020 Total,,"13,112","8,711",756,"9,467",92.00%,"2,056",21.70%,"1,386",67.40%

2021,October,"1,052","1,367",121,"1,488",91.90%,346,23.30%,249,72.00%

,November,915,"1,129",87,"1,216",92.80%,256,21.10%,192,75.00%

,December,"1,046","1,276",107,"1,383",92.30%,357,25.80%,257,72.00%

,January,981,"1,530",65,"1,595",95.90%,189,11.80%,136,72.00%

,February,"1,074",946,79,"1,025",92.30%,224,21.90%,158,70.50%

,March,"1,283","1,260",121,"1,381",91.20%,444,32.20%,335,75.50%

,April,"1,137","1,151",115,"1,266",90.90%,366,28.90%,265,72.40%

,May,"1,112",999,124,"1,123",89.00%,358,31.90%,243,67.90%

,June,"1,277","1,198",161,"1,359",88.20%,337,24.80%,193,57.30%

,July,"1,117","1,142",120,"1,262",90.50%,299,23.70%,193,64.50%

,August,"1,003","1,186",152,"1,338",88.60%,359,26.80%,230,64.10%

,September,933,"1,100",141,"1,241",88.60%,279,22.50%,165,59.10%

2021 Total,,"12,930","14,284","1,393","15,677",91.10%,"3,814",24.30%,"2,616",68.60%

2022,October,897,"1,033",154,"1,187",87.00%,248,20.90%,130,52.40%

,November,939,835,129,964,86.60%,234,24.30%,138,59.00%

,December,895,833,105,938,88.80%,230,24.50%,140,60.90%

,January,958,823,107,930,88.50%,180,19.40%,104,57.80%

,February,"1,051",847,80,927,91.40%,149,16.10%,86,57.70%

,March,"1,324","1,098",103,"1,201",91.40%,201,16.70%,126,62.70%

,April,"1,169","1,329",75,"1,404",94.70%,168,12.00%,114,67.90%

,May,"1,292",974,73,"1,047",93.00%,171,16.30%,117,68.40%

,June,"1,492","1,199",82,"1,281",93.60%,204,15.90%,140,68.60%

,July,"1,310",964,102,"1,066",90.40%,190,17.80%,113,59.50%

,August,"1,347","1,457",94,"1,551",93.90%,210,13.50%,135,64.30%

,September,1264,"1,359",95,"1,454",93.50%,207,14.20%,149,72.00%

2022 Total,,"13,938","12,751","1,199","13,950",91.40%,"2,392",17.10%,"1,492",62.40%

2023,October,"1,190","1,146",64,"1,210",94.70%,202,16.70%,150,74.30%

,November,"1,053","1,074",73,"1,147",93.60%,230,20.10%,173,75.20%

,December,975,855,70,925,92.40%,175,18.90%,119,68.00%

2023 Total,,"3,218","3,075",207,"3,282",93.70%,607,18.50%,442,72.80%

References:,,,,,,,,,,

1 The number of new petitions received and entered into a case-tracking system during the reporting period.,,,,,,,,,,

"2 The number of petitions approved during the reporting period. Only initial decisions are considered. Subsequent decisions are excluded (Revocation, Remands, etc.) ",,,,,,,,,,

"3 The number of petitions denied during the reporting period. Only initial decisions are considered. Subsequent decisions are excluded (Revocation, Remands, etc.) ",,,,,,,,,,

4 The number of petitions approved and denied during the reporting period.,,,,,,,,,,

5 The percentage of petitions approved out of total completions.,,,,,,,,,,

6 The number of completions that had a Request for Evidence (RFE). ,,,,,,,,,,

