,December,"3,326","2,183",816,"2,999",72.8%,"1,667",55.6%,876,52.5%,,,,,,,,,

,January,"3,148","2,142",909,"3,051",70.2%,"1,729",56.7%,890,51.5%,,,,,,,,,

,February,"3,427","1,982",770,"2,752",72.0%,"1,459",53.0%,760,52.1%,,,,,,,,,

,March,"3,525","2,572",946,"3,518",73.1%,"1,771",50.3%,884,49.9%,,,,,,,,,

,April,"3,374","2,349","1,026","3,375",69.6%,"1,929",57.2%,974,50.5%,,,,,,,,,

,May,"4,110","2,518","1,121","3,639",69.2%,"2,103",57.8%,"1,030",49.0%,,,,,,,,,

,June,"3,447","2,829","1,125","3,954",71.5%,"2,069",52.3%,981,47.4%,,,,,,,,,

,July,"3,365","2,620","1,100","3,720",70.4%,"2,181",58.6%,"1,115",51.1%,,,,,,,,,

,August,"3,779","2,902","1,056","3,958",73.3%,"2,115",53.4%,"1,092",51.6%,,,,,,,,,

,September,"3,145","2,498","1,021","3,519",71.0%,"1,955",55.6%,970,49.6%,,,,,,,,,

2019 Total,,"41,191","29,334","11,467","40,801",71.9%,"22,155",54.3%,"11,246",50.8%,,,,,,,,,

2020,October,"3,546","2,507",975,"3,482",72.0%,"1,993",57.2%,"1,059",53.1%,,,,,,,,,

,November,"3,081","2,093",874,"2,967",70.5%,"1,796",60.5%,957,53.3%,,,,,,,,,

,December,"2,945","2,402",727,"3,129",76.8%,"1,715",54.8%,"1,008",58.8%,,,,,,,,,

,January,"3,009","2,305",924,"3,229",71.4%,"1,879",58.2%,"1,015",54.0%,,,,,,,,,

,February,"3,208","2,044",623,"2,667",76.6%,"1,349",50.6%,762,56.5%,,,,,,,,,

,March,"2,997","2,262",742,"3,004",75.3%,"1,546",51.5%,862,55.8%,,,,,,,,,

,April,"3,263","1,947",593,"2,540",76.7%,"1,329",52.3%,793,59.7%,,,,,,,,,

,May,"3,412","1,894",563,"2,457",77.1%,"1,335",54.3%,802,60.1%,,,,,,,,,

,June,"3,618","1,968",545,"2,513",78.3%,"1,205",48.0%,687,57.0%,,,,,,,,,

,July,"3,776","1,855",518,"2,373",78.2%,"1,019",42.9%,543,53.3%,,,,,,,,,

,August,"3,393","2,107",682,"2,789",75.5%,"1,584",56.8%,939,59.3%,,,,,,,,,

,September,"3,816","2,559",928,"3,487",73.4%,"2,007",57.6%,"1,155",57.5%,,,,,,,,,

2020 Total,,"40,064","25,943","8,694","34,637",74.9%,"18,757",54.2%,"10,582",56.4%,,,,,,,,,

2021,October,"2,921","2,565",939,"3,504",73.2%,"2,164",61.8%,"1,319",61.0%,,,,,,,,,

,November,"2,327","2,116",738,"2,854",74.1%,"1,733",60.7%,"1,071",61.8%,,,,,,,,,

,December,"2,988","2,303",790,"3,093",74.5%,"1,862",60.2%,"1,153",61.9%,,,,,,,,,

,January,"2,415","2,066",785,"2,851",72.5%,"1,754",61.5%,"1,065",60.7%,,,,,,,,,

,February,"2,877","1,879",609,"2,488",75.5%,"1,494",60.0%,945,63.3%,,,,,,,,,

,March,"3,990","2,606",811,"3,417",76.3%,"2,065",60.4%,"1,307",63.3%,,,,,,,,,

,April,"3,638","2,318",643,"2,961",78.3%,"1,653",55.8%,"1,063",64.3%,,,,,,,,,

,May,"3,618","3,028",528,"3,556",85.2%,"1,716",48.3%,"1,240",72.3%,,,,,,,,,

,June,"3,980","3,479",494,"3,973",87.6%,"1,930",48.6%,"1,481",76.7%,,,,,,,,,

,July,"3,658","3,251",610,"3,861",84.2%,"1,796",46.5%,"1,250",69.6%,,,,,,,,,

,August,"3,707","3,875",807,"4,682",82.8%,"1,939",41.4%,"1,257",64.8%,,,,,,,,,

,September,"3,287","3,405",798,"4,203",81.0%,"1,582",37.6%,"1,024",64.7%,,,,,,,,,

2021 Total,,"39,406","32,891","8,552","41,443",79.4%,"21,688",52.3%,"14,175",65.4%,,,,,,,,,

2022,October,"3,527","3,134",666,"3,800",82.5%,"1,552",40.8%,"1,052",67.8%,,,,,,,,,

,November,"3,383","2,790",535,"3,325",83.9%,"1,373",41.3%,919,66.9%,,,,,,,,,

,December,"3,418","2,744",531,"3,275",83.8%,"1,377",42.0%,919,66.7%,,,,,,,,,

,January,,,,,,,,,,,,,,,,,,

,February,,,,,,,,,,,,,,,,,,

,March,,,,,,,,,,,,,,,,,,

,April,,,,,,,,,,,,,,,,,,

,May,,,,,,,,,,,,,,,,,,

,June,,,,,,,,,,,,,,,,,,

,July,,,,,,,,,,,,,,,,,,

,August,,,,,,,,,,,,,,,,,,

,September,,,,,,,,,,,,,,,,,,

2022 Total,,"10,328","8,668","1,732","10,400",83.3%,"4,302",41.4%,"2,890",67.2%,,,,,,,,,

,,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,,

"Form I-129 Petition for a Nonimmigrant Worker, Individuals with Extraordinary Ability or Achievement and Essential Support Personnel (O)",,,,,,,,,,,,,,,,,,,

"By Fiscal Year, Month, and Case Status",,,,,,,,,,,,,,,,,,,

"October 1, 2016 - December 31, 2021",,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,,

Period,,Petitions by Case Status,,,,,,,,,,,,,,,,,

Fiscal Year,Month,Petitions Received 1,Initially Approved 2,Initially Denied3,Total Completions 4,Approved (%)5,Completions with RFE6,Completions with RFE (%)7,Approved with RFE8,Approved with RFE (%)9,,,,,,,,,

,,,,,,,,,,,,,,,,,,,

TOTAL,,"125,175","114,759","10,029","124,788",92.0%,"31,874",25.5%,"22,104",69.3%,,,,,,,,,

,,,,,,,,,,,,,,,,,,,

2017,October,"1,780","1,904",122,"2,026",94.0%,455,22.5%,337,74.1%,,,,,,,,,

,November,"1,683","1,936",116,"2,052",94.3%,455,22.2%,343,75.4%,,,,,,,,,

,December,"2,187","2,014",95,"2,109",95.5%,423,20.1%,331,78.3%,,,,,,,,,

,January,"1,537","1,942",136,"2,078",93.5%,531,25.6%,402,75.7%,,,,,,,,,

,February,"1,861","1,851",121,"1,972",93.9%,464,23.5%,344,74.1%,,,,,,,,,

,March,"2,158","2,235",129,"2,364",94.5%,492,20.8%,364,74.0%,,,,,,,,,

,April,"1,919","1,862",102,"1,964",94.8%,407,20.7%,308,75.7%,,,,,,,,,

,May,"2,243","1,953",154,"2,107",92.7%,472,22.4%,322,68.2%,,,,,,,,,

,June,"2,499","2,222",147,"2,369",93.8%,494,20.9%,348,70.4%,,,,,,,,,

,July,"2,191","2,033",155,"2,188",92.9%,494,22.6%,342,69.2%,,,,,,,,,

,August,"2,381","2,430",133,"2,563",94.8%,548,21.4%,420,76.6%,,,,,,,,,

,September,"1,852","1,801",97,"1,898",94.9%,417,22.0%,322,77.2%,,,,,,,,,

2017 Total,,"24,291","24,183","1,507","25,690",94.1%,"5,652",22.0%,"4,183",74.0%,,,,,,,,,

2018,October,"1,981","1,660",173,"1,833",90.6%,472,25.8%,301,63.8%,,,,,,,,,

,November,"1,889","1,825",187,"2,012",90.7%,474,23.6%,289,61.0%,,,,,,,,,

,December,"1,796","1,593",160,"1,753",90.9%,463,26.4%,307,66.3%,,,,,,,,,

,January,"1,752","1,822",144,"1,966",92.7%,442,22.5%,302,68.3%,,,,,,,,,

,February,"1,913","1,673",132,"1,805",92.7%,393,21.8%,263,66.9%,,,,,,,,,

,March,"2,291","2,084",133,"2,217",94.0%,474,21.4%,343,72.4%,,,,,,,,,

,April,"2,130","1,875",108,"1,983",94.6%,397,20.0%,292,73.6%,,,,,,,,,

,May,"2,276","1,994",134,"2,128",93.7%,474,22.3%,345,72.8%,,,,,,,,,

,June,"2,254","2,024",109,"2,133",94.9%,455,21.3%,348,76.5%,,,,,,,,,

,July,"2,460","1,931",165,"2,096",92.1%,500,23.9%,341,68.2%,,,,,,,,,

,August,"2,477","2,257",164,"2,421",93.2%,552,22.8%,393,71.2%,,,,,,,,,

,September,"1,983","2,004",152,"2,156",92.9%,512,23.7%,365,71.3%,,,,,,,,,

2018 Total,,"25,202","22,742","1,761","24,503",92.8%,"5,608",22.9%,"3,889",69.3%,,,,,,,,,

2019,October,"2,055","2,028",184,"2,212",91.7%,581,26.3%,401,69.0%,,,,,,,,,

,November,"1,843","1,671",189,"1,860",89.8%,545,29.3%,360,66.1%,,,,,,,,,

,December,"1,984","1,585",171,"1,756",90.3%,500,28.5%,331,66.2%,,,,,,,,,

,January,"1,764","1,908",246,"2,154",88.6%,650,30.2%,418,64.3%,,,,,,,,,

,February,"2,020","1,682",163,"1,845",91.2%,500,27.1%,338,67.6%,,,,,,,,,

,March,"2,293","1,861",160,"2,021",92.1%,518,25.6%,361,69.7%,,,,,,,,,

,April,"2,301","2,056",201,"2,257",91.1%,584,25.9%,389,66.6%,,,,,,,,,

,May,"2,555","2,052",188,"2,240",91.6%,556,24.8%,370,66.5%,,,,,,,,,

,June,"2,436","1,992",187,"2,179",91.4%,536,24.6%,355,66.2%,,,,,,,,,

,July,"2,570","2,339",231,"2,570",91.0%,639,24.9%,411,64.3%,,,,,,,,,

,August,"2,514","2,174",202,"2,376",91.5%,548,23.1%,352,64.2%,,,,,,,,,

,September,"2,172","1,736",214,"1,950",89.0%,560,28.7%,357,63.8%,,,,,,,,,

2019 Total,,"26,507","23,084","2,336","25,420",90.8%,"6,717",26.4%,"4,443",66.1%,,,,,,,,,

2020,October,"2,246","2,017",209,"2,226",90.6%,658,29.6%,459,69.8%,,,,,,,,,

,November,"2,031","1,580",196,"1,776",89.0%,533,30.0%,343,64.4%,,,,,,,,,

,December,"2,057","1,770",181,"1,951",90.7%,565,29.0%,384,68.0%,,,,,,,,,

,January,"1,829","1,682",199,"1,881",89.4%,586,31.2%,395,67.4%,,,,,,,,,

,February,"2,228","1,751",204,"1,955",89.6%,551,28.2%,352,63.9%,,,,,,,,,

,March,"1,810","2,035",275,"2,310",88.1%,716,31.0%,455,63.5%,,,,,,,,,

,April,"1,640",965,221,"1,186",81.4%,476,40.1%,261,54.8%,,,,,,,,,

,May,"1,684","1,347",140,"1,487",90.6%,431,29.0%,292,67.7%,,,,,,,,,

,June,"1,670","1,693",128,"1,821",93.0%,494,27.1%,370,74.9%,,,,,,,,,

,July,"1,842","1,741",123,"1,864",93.4%,469,25.2%,348,74.2%,,,,,,,,,

,August,"1,592","1,701",206,"1,907",89.2%,667,35.0%,465,69.7%,,,,,,,,,

,September,"1,673","1,617",198,"1,815",89.1%,617,34.0%,423,68.6%,,,,,,,,,

2020 Total,,"22,302","19,899","2,280","22,179",89.7%,"6,763",30.5%,"4,547",67.2%,,,,,,,,,

2021,October,"1,378","1,639",226,"1,865",87.9%,648,34.7%,427,65.9%,,,,,,,,,

,November,"1,190","1,144",175,"1,319",86.7%,528,40.0%,356,67.4%,,,,,,,,,

,December,"1,364","1,200",207,"1,407",85.3%,570,40.5%,367,64.4%,,,,,,,,,

,January,"1,132","1,180",148,"1,328",88.9%,396,29.8%,250,63.1%,,,,,,,,,

,February,"1,232","1,153",113,"1,266",91.1%,339,26.8%,226,66.7%,,,,,,,,,

,March,"1,831","1,579",210,"1,789",88.3%,580,32.4%,372,64.1%,,,,,,,,,

,April,"1,789","1,501",109,"1,610",93.2%,428,26.6%,321,75.0%,,,,,,,,,

,May,"1,896","1,524",144,"1,668",91.4%,443,26.6%,302,68.2%,,,,,,,,,

,June,"2,324","1,939",139,"2,078",93.3%,493,23.7%,359,72.8%,,,,,,,,,

,July,"2,284","2,110",89,"2,199",96.0%,444,20.2%,360,81.1%,,,,,,,,,

,August,"2,214","2,385",113,"2,498",95.5%,512,20.5%,402,78.5%,,,,,,,,,

,September,"2,039","1,978",149,"2,127",93.0%,498,23.4%,353,70.9%,,,,,,,,,

2021 Total,,"20,673","19,332","1,822","21,154",91.4%,"5,879",27.8%,"4,095",69.7%,,,,,,,,,

2022,October,"2,035","1,852",130,"1,982",93.4%,444,22.4%,320,72.1%,,,,,,,,,

,November,"1,912","1,830",112,"1,942",94.2%,440,22.7%,330,75.0%,,,,,,,,,

,December,"2,253","1,837",81,"1,918",95.8%,371,19.3%,297,80.1%,,,,,,,,,

,January,,,,,,,,,,,,,,,,,,

,February,,,,,,,,,,,,,,,,,,

,March,,,,,,,,,,,,,,,,,,

,April,,,,,,,,,,,,,,,,,,

,May,,,,,,,,,,,,,,,,,,

,June,,,,,,,,,,,,,,,,,,

,July,,,,,,,,,,,,,,,,,,

,August,,,,,,,,,,,,,,,,,,

,September,,,,,,,,,,,,,,,,,,

2022 Total,,"6,200","5,519",323,"5,842",94.5%,"1,255",21.5%,947,75.5%,,,,,,,,,

,,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,,

"Form I-129 Petition for a Nonimmigrant Worker Athlete, Athletic/Entertainment Group, Artist, or Entertainer and Essential Support Personnel (P)",,,,,,,,,,,,,,,,,,,

"By Fiscal Year, Month, and Case Status",,,,,,,,,,,,,,,,,,,

"October 1, 2016 - December 31, 2021",,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,,

                     Period,,,,,,                    Petitions by Case Status,,,,,,,,,,,,,

Fiscal Year,Month,Petitions Received 1,Initially Approved 2,Initially Denied3,Total Completions 4,Approved (%)5,Completions with RFE6,Completions with RFE (%)7,Approved with RFE8,Approved with RFE (%)9,,,,,,,,,

,,,,,,,,,,,,,,,,,,,

TOTAL,,"55,869","51,059","4,687","55,746",91.6%,"12,700",22.8%,"8,226",64.8%,,,,,,,,,

,,,,,,,,,,,,,,,,,,,

2017,October,878,861,54,915,94.1%,162,17.7%,112,69.1%,,,,,,,,,

,November,906,881,66,947,93.0%,191,20.2%,131,68.6%,,,,,,,,,

,December,"1,282","1,049",71,"1,120",93.7%,181,16.2%,111,61.3%,,,,,,,,,

,January,878,985,90,"1,075",91.6%,238,22.1%,151,63.4%,,,,,,,,,

,February,890,972,91,"1,063",91.4%,230,21.6%,142,61.7%,,,,,,,,,

,March,"1,096","1,097",114,"1,211",90.6%,279,23.0%,170,60.9%,,,,,,,,,

,April,807,823,64,887,92.8%,228,25.7%,168,73.7%,,,,,,,,,

,May,"1,019",853,94,947,90.1%,233,24.6%,144,61.8%,,,,,,,,,

,June,971,954,107,"1,061",89.9%,271,25.5%,165,60.9%,,,,,,,,,

,July,"1,147",960,91,"1,051",91.3%,212,20.2%,131,61.8%,,,,,,,,,

,August,"1,022","1,099",86,"1,185",92.7%,258,21.8%,175,67.8%,,,,,,,,,

,September,809,799,61,860,92.9%,199,23.1%,140,70.4%,,,,,,,,,

2017 Total,,"11,705","11,333",989,"12,322",92.0%,"2,682",21.8%,"1,740",64.9%,,,,,,,,,

2018,October,932,707,101,808,87.5%,225,27.8%,126,56.0%,,,,,,,,,

,November,936,856,71,927,92.3%,196,21.1%,126,64.3%,,,,,,,,,

,December,"1,014",894,51,945,94.6%,207,21.9%,158,76.3%,,,,,,,,,

,January,"1,006","1,007",64,"1,071",94.0%,224,20.9%,162,72.3%,,,,,,,,,

,February,"1,035",973,57,"1,030",94.5%,195,18.9%,139,71.3%,,,,,,,,,

,March,"1,100","1,032",76,"1,108",93.1%,200,18.1%,129,64.5%,,,,,,,,,

,April,921,853,66,919,92.8%,219,23.8%,159,72.6%,,,,,,,,,

,May,"1,046",891,74,965,92.3%,243,25.2%,170,70.0%,,,,,,,,,

,June,983,923,66,989,93.3%,209,21.1%,147,70.3%,,,,,,,,,

,July,"1,284","1,053",80,"1,133",92.9%,242,21.4%,167,69.0%,,,,,,,,,

,August,"1,179","1,100",77,"1,177",93.5%,258,21.9%,185,71.7%,,,,,,,,,

,September,827,"1,016",62,"1,078",94.2%,201,18.6%,142,70.6%,,,,,,,,,

2018 Total,,"12,263","11,305",845,"12,150",93.0%,"2,619",21.6%,"1,810",69.1%,,,,,,,,,

2019,October,956,826,87,913,90.5%,211,23.1%,126,59.7%,,,,,,,,,

,November,"1,076",907,61,968,93.7%,178,18.4%,119,66.9%,,,,,,,,,

,December,"1,208",993,68,"1,061",93.6%,215,20.3%,150,69.8%,,,,,,,,,

,January,"1,098","1,103",130,"1,233",89.5%,320,26.0%,197,61.6%,,,,,,,,,

,February,"1,064",937,86,"1,023",91.6%,254,24.8%,174,68.5%,,,,,,,,,

,March,"1,103",930,106,"1,036",89.8%,284,27.4%,184,64.8%,,,,,,,,,

,April,"1,049",928,91,"1,019",91.1%,276,27.1%,190,68.8%,,,,,,,,,

,May,"1,131",899,88,987,91.1%,257,26.0%,172,66.9%,,,,,,,,,

,June,"1,046",848,95,943,89.9%,232,24.6%,138,59.5%,,,,,,,,,

,July,"1,321","1,216",85,"1,301",93.5%,230,17.7%,149,64.8%,,,,,,,,,

,August,"1,135","1,134",110,"1,244",91.2%,287,23.1%,182,63.4%,,,,,,,,,

,September,927,781,88,869,89.9%,242,27.8%,156,64.5%,,,,,,,,,

2019 Total,,"13,114","11,502","1,095","12,597",91.3%,"2,986",23.7%,"1,937",64.9%,,,,,,,,,

2020,October,"1,023",791,103,894,88.5%,232,26.0%,134,57.8%,,,,,,,,,

,November,999,792,96,888,89.2%,233,26.2%,139,59.7%,,,,,,,,,

,December,"1,138",933,60,993,94.0%,200,20.1%,144,72.0%,,,,,,,,,

,January,"1,216","1,063",97,"1,160",91.6%,269,23.2%,182,67.7%,,,,,,,,,

,February,"1,022",912,88,"1,000",91.2%,225,22.5%,139,61.8%,,,,,,,,,

,March,786,964,144,"1,108",87.0%,338,30.5%,197,58.3%,,,,,,,,,

,April,335,360,73,433,83.1%,130,30.0%,64,49.2%,,,,,,,,,

,May,351,335,69,404,82.9%,141,34.9%,73,51.8%,,,,,,,,,

,June,387,395,51,446,88.6%,140,31.4%,92,65.7%,,,,,,,,,

,July,440,446,47,493,90.5%,140,28.4%,94,67.1%,,,,,,,,,

,August,366,366,62,428,85.5%,149,34.8%,87,58.4%,,,,,,,,,

,September,439,401,85,486,82.5%,168,34.6%,85,50.6%,,,,,,,,,

2020 Total,,"8,502","7,758",975,"8,733",88.8%,"2,365",27.1%,"1,430",60.5%,,,,,,,,,

2021,October,452,491,103,594,82.7%,174,29.3%,76,43.7%,,,,,,,,,

,November,475,420,77,497,84.5%,140,28.2%,66,47.1%,,,,,,,,,

,December,694,595,76,671,88.7%,163,24.3%,95,58.3%,,,,,,,,,

,January,498,560,41,601,93.2%,133,22.1%,95,71.4%,,,,,,,,,

,February,422,433,35,468,92.5%,99,21.2%,65,65.7%,,,,,,,,,

,March,560,488,55,543,89.9%,139,25.6%,84,60.4%,,,,,,,,,

,April,553,468,38,506,92.5%,91,18.0%,56,61.5%,,,,,,,,,

,May,639,456,56,512,89.1%,130,25.4%,79,60.8%,,,,,,,,,

,June,783,643,31,674,95.4%,123,18.2%,94,76.4%,,,,,,,,,

,July,877,771,23,794,97.1%,112,14.1%,89,79.5%,,,,,,,,,

,August,973,"1,000",35,"1,035",96.6%,153,14.8%,120,78.4%,,,,,,,,,

,September,778,731,61,792,92.3%,147,18.6%,86,58.5%,,,,,,,,,

2021 Total,,"7,704","7,056",631,"7,687",91.8%,"1,604",20.9%,"1,005",62.7%,,,,,,,,,

2022,October,759,628,57,685,91.7%,140,20.4%,86,61.4%,,,,,,,,,

,November,867,719,44,763,94.2%,141,18.5%,100,70.9%,,,,,,,,,

,December,955,758,51,809,93.7%,163,20.1%,118,72.4%,,,,,,,,,

,January,,,,,,,,,,,,,,,,,,

,February,,,,,,,,,,,,,,,,,,

,March,,,,,,,,,,,,,,,,,,

,April,,,,,,,,,,,,,,,,,,

,May,,,,,,,,,,,,,,,,,,

,June,,,,,,,,,,,,,,,,,,

,July,,,,,,,,,,,,,,,,,,

,August,,,,,,,,,,,,,,,,,,

,September,,,,,,,,,,,,,,,,,,

2022 Total,,"2,581","2,105",152,"2,257",93.3%,444,19.7%,304,68.5%,,,,,,,,,

,,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,,

Form I-129 Petition for a Nonimmigrant Worker Temporary Nonimmigrant Religious Workers (R-1),,,,,,,,,,,,,,,,,,,

"By Fiscal Year, Month, and Case Status",,,,,,,,,,,,,,,,,,,

"October 1, 2016 - December 31, 2021",,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,,

                     Period,,,,,,                    Petitions by Case Status,,,,,,,,,,,,,

Fiscal Year,Month,Petitions Received 1,Initially Approved 2,Initially Denied3,Total Completions 4,Approved (%)5,Completions with RFE6,Completions with RFE (%)7,Approved with RFE8,Approved with RFE (%)9,,,,,,,,,

,,,,,,,,,,,,,,,,,,,

TOTAL,,"41,704","39,927","2,886","42,813",93.3%,"13,404",31.3%,"10,917",81.4%,,,,,,,,,

,,,,,,,,,,,,,,,,,,,

2017,October,675,710,53,763,93.1%,220,28.8%,182,82.7%,,,,,,,,,

,November,633,562,61,623,90.2%,248,39.8%,201,81.0%,,,,,,,,,

,December,845,646,55,701,92.2%,263,37.5%,217,82.5%,,,,,,,,,

,January,558,716,82,798,89.7%,311,39.0%,240,77.2%,,,,,,,,,

,February,678,746,76,822,90.8%,290,35.3%,227,78.3%,,,,,,,,,

,March,727,921,73,994,92.7%,356,35.8%,289,81.2%,,,,,,,,,

,April,625,923,55,978,94.4%,355,36.3%,307,86.5%,,,,,,,,,

,May,721,734,81,815,90.1%,428,52.5%,354,82.7%,,,,,,,,,

,June,825,720,65,785,91.7%,425,54.1%,361,84.9%,,,,,,,,,

,July,728,767,76,843,91.0%,340,40.3%,271,79.7%,,,,,,,,,

,August,707,785,75,860,91.3%,369,42.9%,299,81.0%,,,,,,,,,

,September,644,621,59,680,91.3%,278,40.9%,225,80.9%,,,,,,,,,

2017 Total,,"8,366","8,851",811,"9,662",91.6%,"3,883",40.2%,"3,173",81.7%,,,,,,,,,

2018,October,618,723,58,781,92.6%,236,30.2%,181,76.7%,,,,,,,,,

,November,649,535,41,576,92.9%,191,33.2%,153,80.1%,,,,,,,,,

,December,727,529,46,575,92.0%,251,43.7%,210,83.7%,,,,,,,,,

,January,687,717,73,790,90.8%,298,37.7%,231,77.5%,,,,,,,,,

,February,688,753,63,816,92.3%,275,33.7%,216,78.5%,,,,,,,,,

,March,756,614,43,657,93.5%,242,36.8%,203,83.9%,,,,,,,,,

,April,725,591,36,627,94.3%,219,34.9%,187,85.4%,,,,,,,,,

,May,836,667,66,733,91.0%,278,37.9%,214,77.0%,,,,,,,,,

,June,742,538,50,588,91.5%,207,35.2%,164,79.2%,,,,,,,,,

,July,737,655,58,713,91.9%,205,28.8%,154,75.1%,,,,,,,,,

,August,679,977,59,"1,036",94.3%,239,23.1%,184,77.0%,,,,,,,,,

,September,637,617,36,653,94.5%,201,30.8%,166,82.6%,,,,,,,,,

2018 Total,,"8,481","7,916",629,"8,545",92.6%,"2,842",33.3%,"2,263",79.6%,,,,,,,,,

2019,October,678,653,35,688,94.9%,222,32.3%,188,84.7%,,,,,,,,,

,November,691,821,40,861,95.4%,259,30.1%,221,85.3%,,,,,,,,,

,December,672,739,34,773,95.6%,221,28.6%,188,85.1%,,,,,,,,,

,January,710,691,64,755,91.5%,215,28.5%,159,74.0%,,,,,,,,,

,February,763,495,38,533,92.9%,174,32.6%,139,79.9%,,,,,,,,,

,March,775,634,38,672,94.3%,212,31.5%,180,84.9%,,,,,,,,,

,April,746,801,35,836,95.8%,222,26.6%,188,84.7%,,,,,,,,,

,May,869,482,38,520,92.7%,144,27.7%,109,75.7%,,,,,,,,,

,June,694,475,28,503,94.4%,161,32.0%,136,84.5%,,,,,,,,,

,July,839,642,49,691,92.9%,208,30.1%,168,80.8%,,,,,,,,,

,August,738,643,31,674,95.4%,181,26.9%,156,86.2%,,,,,,,,,

,September,733,552,32,584,94.5%,138,23.6%,110,79.7%,,,,,,,,,

2019 Total,,"8,908","7,628",462,"8,090",94.3%,"2,357",29.1%,"1,942",82.4%,,,,,,,,,

2020,October,801,490,53,543,90.2%,161,29.7%,119,73.9%,,,,,,,,,

,November,642,390,35,425,91.8%,114,26.8%,85,74.6%,,,,,,,,,

,December,636,413,27,440,93.9%,142,32.3%,118,83.1%,,,,,,,,,

,January,664,448,50,498,90.0%,168,33.7%,125,74.4%,,,,,,,,,

,February,695,340,16,356,95.5%,99,27.8%,87,87.9%,,,,,,,,,

,March,600,624,38,662,94.3%,176,26.6%,149,84.7%,,,,,,,,,

,April,472,613,17,630,97.3%,121,19.2%,108,89.3%,,,,,,,,,

,May,498,694,38,732,94.8%,162,22.1%,133,82.1%,,,,,,,,,

,June,568,672,29,701,95.9%,140,20.0%,116,82.9%,,,,,,,,,

,July,606,581,31,612,94.9%,167,27.3%,145,86.8%,,,,,,,,,

,August,537,541,37,578,93.6%,234,40.5%,208,88.9%,,,,,,,,,

,September,594,585,48,633,92.4%,257,40.6%,218,84.8%,,,,,,,,,

2020 Total,,"7,313","6,391",419,"6,810",93.8%,"1,941",28.5%,"1,611",83.0%,,,,,,,,,

2021,October,446,586,38,624,93.9%,237,38.0%,203,85.7%,,,,,,,,,

,November,436,496,35,531,93.4%,187,35.2%,158,84.5%,,,,,,,,,

,December,492,433,51,484,89.5%,160,33.1%,121,75.6%,,,,,,,,,

,January,549,413,33,446,92.6%,137,30.7%,110,80.3%,,,,,,,,,

,February,502,409,31,440,93.0%,109,24.8%,82,75.2%,,,,,,,,,

,March,655,645,34,679,95.0%,138,20.3%,116,84.1%,,,,,,,,,

,April,600,632,41,673,93.9%,169,25.1%,137,81.1%,,,,,,,,,

,May,535,636,33,669,95.1%,144,21.5%,117,81.3%,,,,,,,,,

,June,679,545,25,570,95.6%,140,24.6%,119,85.0%,,,,,,,,,

,July,606,856,27,883,96.9%,147,16.6%,122,83.0%,,,,,,,,,

,August,683,"1,047",59,"1,106",94.7%,186,16.8%,140,75.3%,,,,,,,,,

,September,567,805,54,859,93.7%,186,21.7%,142,76.3%,,,,,,,,,

2021 Total,,"6,750","7,503",461,"7,964",94.2%,"1,940",24.4%,"1,567",80.8%,,,,,,,,,

2022,October,617,547,49,596,91.8%,133,22.3%,99,74.4%,,,,,,,,,

,November,596,551,26,577,95.5%,151,26.2%,128,84.8%,,,,,,,,,

,December,673,540,29,569,94.9%,157,27.6%,134,85.4%,,,,,,,,,

,January,,,,,,,,,,,,,,,,,,

,February,,,,,,,,,,,,,,,,,,

,March,,,,,,,,,,,,,,,,,,

,April,,,,,,,,,,,,,,,,,,

,May,,,,,,,,,,,,,,,,,,

,June,,,,,,,,,,,,,,,,,,

,July,,,,,,,,,,,,,,,,,,

,August,,,,,,,,,,,,,,,,,,

,September,,,,,,,,,,,,,,,,,,

2022 Total,,"1,886","1,638",104,"1,742",94.0%,441,25.3%,361,81.9%,,,,,,,,,

,,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,,

"Form I-129 Petition for a Nonimmigrant Worker, NAFTA Professionals (TN)",,,,,,,,,,,,,,,,,,,

"By Fiscal Year, Month, and Case Status",,,,,,,,,,,,,,,,,,,

"October 1, 2016 - December 31, 2021",,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,,

Period,,,,,,                    Petitions by Case Status,,,,,,,,,,,,,

